No,Nama Perusahaan,Merek Perusahaan,Nomor Anggota,Nama Pimpinan,Perijinan,Kota,Provinsi,DPD
"165","PT ANDAMAS MABRUR WISATA","Andamas Tour & Travel","321/AMPHURI/2017","Hj. Nur Indriani","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"166","PT QIBLATAIN AMA TOUR","Qiblatain Ama Tour","322/AMPHURI/2017","Hj. Afida Hardany, A.Md.","PPIU","","Jawa Tengah","Jawa Tengah"
"167","PT AFRAH DIYANI MANDIRI","Afdi Tours","323/AMPHURI/2017","Hj. Yeti Nurhayati, S. Ag","PPIU","","Jawa Barat","Jawa Barat"
"168","PT GARUDA ABADI","Gardi Tour","325/AMPHURI/2017","H. Merisdel Muslim, S.E","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"169","PT MAZIYA RIZKI ALAMI","Mazq Tour","326/AMPHURI/2017","Hj. Kokom Siti Komariah","PIHK","","Jawa Barat","Jawa Barat"
"170","PT KIBLATAIN JAYA WISATA","-","330/AMPHURI/2017","Hj. Sintya Nurwahyuni","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"171","PT SEBARIZ WARNA BERKAH","Sebariz Tour & Travel","333/AMPHURI/2017","Hj. Gloria Tri Lestari Wardhani","PPIU","","Jawa Timur","Jawa Timur"
"172","PT ARUDAM SEMBILAN SEMBILAN","Arudam Sembilan Sembilan","334/AMPHURI/2017","H. Muhtadi","PPIU","","Jawa Timur","Jawa Timur"
"173","PT BUANA PAOTERE WISATA","-","335/AMPHURI/2017","Hj. Kurniyawati, St., Mt","PIHK","","Sulawesi Selatan","Sulampua"
"174","PT SALWANA GLOBAL SARANA","Sarana Umrah / Sarana Tours","336/AMPHURI/2017","H. Saipul Bahri","PIHK","","Jawa Barat","Jawa Barat"
"175","PT ALHAJJ HIKMAH INDONESIA","-","337/AMPHURI/2017","H. Andi Chandrawali, S.H","PIHK","","Sulawesi Selatan","Sulampua"
"176","PT KHALIFAH WISATA INDONESIA","Khalifah Wisata Indonesia","339/AMPHURI/2017","Hj. Lisa Oktaviany","PIHK","","Sulawesi Selatan","Sulampua"
"177","PT ADZAN INSAN KARIMAH","-","341/AMPHURI/2017","H. Agus Salim Narwis","PPIU","","Sulawesi Selatan","Sulampua"
"178","PT AL AZHAR MANDIRI","-","342/AMPHURI/2017","H. Muhammad Yunus P","PPIU","","Sulawesi Selatan","Sulampua"
"179","PT METRO MAKASSAR GEMILANG","-","343/AMPHURI/2017","H. Abdullah Bazergan","PPIU","","Sulawesi Selatan","Sulampua"
"180","PT AMANAH UMMAT INDONESIA","-","AK/344/AMPHURI/2017","H. Syahril Saeni","Kemitraan","","Sulawesi Barat","Sulampua"
"181","PT PELANGI WISATA MADANIAH","Pelangi Wisata Madaniah","345/AMPHURI/2017","H. Hendika Sofyan Djabar","PIHK","","Sulawesi Selatan","Sulampua"
"182","PT MENARA KAMILAH TOURS AND TRAVEL","-","346/AMPHURI/2017","H. Abdul Muchith","PPIU","","Jawa Timur","Jawa Timur"
"183","PT RAMEYZA WISATA JAYA","-","347/AMPHURI/2017","H. Zaki Zamani","PIHK","","Jawa Timur","Jawa Timur"
"184","PT NURINDO WISATA","Alifah Tour","348/AMPHURI/2017","H. Wawan Darmawan","PIHK","","Jawa Barat","Jawa Barat"
"185","PT RAYA RINDANG WISATA","-","349/AMPHURI/2017","H. Mahyudin Hormansyah","PPIU","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"186","PT ISTIQLAL WISATA","Istiqlal Travel","350/AMPHURI/2017","H. Akhmad Muzakki","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"187","PT MARBA WISATA INDONESIA","Tour Travel Umroh","351/AMPHURI/2017","H. Yusuf Muhammad Martak","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"188","PT LUNA AMANAH INTERNASIONAL","Luna Amanah Travel","353/AMPHURI/2017","H. Irwan Yusrat Patongai","PIHK","","Sulawesi Selatan","Sulampua"
"189","PT AL IKHLAS WISATA MANDIRI","-","354/AMPHURI/2017","H. Saifuddin Thahir","PPIU","","Sulawesi Selatan","Sulampua"
"190","PT SAUDARAKU","Saudaraku Umroh Haji","355/AMPHURI/2017","H. Muhammad Rasyid Ismail","PIHK","","Jawa Timur","Jawa Timur"
"191","PT MOZAIK UNIVERSAL INDONESIA","-","357/AMPHURI/2017","H. Buwono Himawan, St","PPIU","","Jawa Timur","Jawa Timur"
"192","PT MINA WISATA ISLAMI","-","359/AMPHURI/2017","H. Rachmat Wicaksono Kinaloka","PIHK","","Jawa Timur","Jawa Timur"
"193","PT JEJAK IMANI BERKAH BERSAMA","Jejak Imani, Jejak Islami, Jejak Nabi","360/AMPHURI/2017","H. M. Rizaldy Latief","PIHK","","Banten","Banten"
"194","PT PAKSI NAGALIMAN WISATA","Paksi Tours & Travel","362/AMPHURI/2017","Hj. Pramajuditya","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"195","PT ASIA IMAN WISATA","Tour & Travel","363/AMPHURI/2017","Dr. H. Abdillah, Lc. M.Hi","PIHK","","Sulawesi Selatan","Sulampua"
"196","PT JIQASS DULANG WISATA","Dulang Wisata","365/AMPHURI/2017","Hj. Andi Sophawati Barung, Se, M.Adm. Sda","PIHK","","Sulawesi Selatan","Sulampua"
"197","PT ARRAFSYAH SAFARI HARAMAIN","-","366/AMPHURI/2017","H. Ardiansyah, Lc","PIHK","","Sulawesi Selatan","Sulampua"
"198","PT ALFATIH NUR HAROMAIN","Al Fatih Travel","367/AMPHURI/2017","H. Arifyanto Baharuddin Atjo","PPIU","","Sulawesi Selatan","Sulampua"
"199","PT ARAFAH BERDIKARI INSANI","Abitravel","368/AMPHURI/2017","H. Sudirman, Se, M.Si","PPIU","","Sulawesi Selatan","Sulampua"
"200","PT DARUL IMAN","-","370/AMPHURI/2017","H. Maulana Andi Surya, Lc, Ma","PPIU","","Sumatera Utara","Sumatera Utara"
"201","PT QONITA ZIKRA SEMESTA","-","371/AMPHURI/2017","Hj. Gebby Konita Dahlan","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"202","PT UMI TOUR & TRAVEL","Umi Tour & Travel","372/AMPHURI/2017","H. Nabil Marie Thalib","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"203","PT CHANDRA CITRA UTAMA","Chandra Tour & Travel","374/AMPHURI/2017","Hj. Nurul Zakiyah","PPIU","","Banten","Banten"
"204","PT RADJA SAFARI WISATA","-","375/AMPHURI/2017","Hj. Mawardha, Dj","PIHK","","Sulawesi Selatan","Sulampua"
"205","PT ANNISA SAM ALAMIN","-","376/AMPHURI/2017","H. Sabaruddin Lamba, Sag","PPIU","","Sulawesi Tengah","Sulampua"
"206","PT AFTA SEMESTA TRAVELINDO","Afta Tours","378/AMPHURI/2017","Hj. Monia Fitrie","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"207","PT CINTA AROFAH RAUDAH","Travel Umroh Dan Haji","377/AMPHURI/2017","Dra. Hj. Farida Listuti","PIHK","","Jawa Barat","Jawa Barat"
"208","PT SURYA MASPUL","-","380/AMPHURI/2017","Dra. Hj. Nurdiana, Mm","PIHK","","Sulawesi Selatan","Sulampua"
"209","PT KAMILAH WISATA MUSLIM","Kwm","381/AMPHURI/2018","H. Bambang Kuswanto","PIHK","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"210","PT BASMAH JAYA WISATA","-","382/AMPHURI/2018","H. Salim Hasan Barakwan","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"211","PT ODIFA JELAJAH DUNIA","Odifa Tour & Travel","383/AMPHURI/2018","Hj. Bety Dwi Kurniawati","PIHK","","Jawa Timur","Jawa Timur"
"212","PT SUTRA TOUR HIDAYAH","-","385/AMPHURI/2018","H. Muhammad Subur","PIHK","","Jawa Timur","Jawa Timur"
"213","PT FADHIL AMANAH WISATA","-","386/AMPHURI/2018","Ir. H. Bungsu A.M Sumawijaya, Mba","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"214","PT ALMEERAH PLAZA UMROH TOUR & TRAVEL","Almeerah Plaza Tour & Travel","387/AMPHURI/2018","Hj. Mita Hayati Tanjung","PIHK","","Sumatera Utara","Sumatera Utara"
"215","PT MALINDO MEKKAH MADINAH","Malindo Mekkah Madinah","389/AMPHURI/2018","H. Hendriansyah, Lc, Ma","PPIU","","Sumatera Utara","Sumatera Utara"
"216","PT TAWASSUL NUR HASANAH","Travel Umroh","391/AMPHURI/2018","Hj. Hazenenny","PPIU","","Sumatera Utara","Sumatera Utara"
"217","PT LAZUARDI HARMONI TUR","Lazuardi Harmoni Umrah & Hajj","394/AMPHURI/2018","H. Muhammad Danial Nafis","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"218","PT RAMANDA TOUR & TRAVEL","Mm Tour","395/AMPHURI/2018","Hj. Winda Suprapti","PPIU","","Kepulauan Riau","Kepulauan Riau, Riau"
"219","PT IKHWANUL IKHLAS WISATA","Ikhwanul Ikhlas","399/AMPHURI/2018","H. Ivandi Darma Putra, Se","PPIU","","Sumatera Utara","Sumatera Utara"
"220","PT MABRUR SEMESTA ALAM","-","400/AMPHURI/2018","Hj. Anggraeni Rahma Hidayati","PPIU","","Jawa Tengah","Jawa Tengah"
"221","PT SAYAN MASYKURO","-","402/AMPHURI/2018","H. Rachmad Soemantri","PPIU","","Jawa Timur","Jawa Timur"
"222","PT MADANI PRABU JAYA","Madani Tour","403/AMPHURI/2018","H. Hud Rifki Assegaf","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"223","PT AL BURUJ","Al Buruj","405/AMPHURI/2018","H. Andi Muh Arwadi, M.A","PPIU","","Sulawesi Selatan","Sulampua"
"224","PT AMEERA MEKKAH TRAVEL","Ameera Mekkah","406/AMPHURI/2018","Hj. Neny Amalina","PIHK","","Sumatera Utara","Sumatera Utara"
"225","PT MUTIARA AMANAH","Mutamtour","408/AMPHURI/2018","H. Yasak Taufan, St","PIHK","","Jawa Timur","Jawa Timur"
"226","PT RITAS RAUDAH","Ritas Raudah","409/AMPHURI/2018","Hj. Rita Suhaimi","PIHK","","Kalimantan Timur","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"227","PT RABBANI SEMESTA UTAMA","-","410/AMPHURI/2018","Hj. Masrura Ram Idjal, Mba","PIHK","","Jawa Barat","Jawa Barat"
"228","PT ALKHATTAB MUBAROK INTERNASIONAL","Al Khattab Tourism","411/AMPHURI/2018","H. Suryadin","PIHK","","Sulawesi Selatan","Sulampua"
"229","PT ANGKASA GLOBAL ALAZADIK","-","412/AMPHURI/2018","H. Alex Gunarto","PPIU","","Jawa Tengah","Jawa Tengah"
"230","PT MANDALA TOURS DAN TRAVEL","Mandala Travel","414/AMPHURI/2018","H. Marzuki Azis","PIHK","","Sulawesi Selatan","Sulampua"
"231","PT QISWAH INDAH TRAVELINDO","-","415/AMPHURI/2018","Dr. H. Ulul Albab,Ms","PPIU","","Jawa Timur","Jawa Timur"
"232","PT SARANA WISATA PERDANA","Agra Tour & Travel","416/AMPHURI/2018","Hj. Deny Hendrawati","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"233","PT TERANG JAYA UTAMA","-","418/AMPHURI/2018","Hj. Suciaty","PIHK","","Sulawesi Selatan","Sulampua"
"234","PT TOMBO ATI MASYHUR","-","419/AMPHURI/2018","H. Aniek Budiartini","PIHK","","Jawa Timur","Jawa Timur"
"235","PT CENTRAL GLOBAL NETWORK","Central Tour & Travel","420/AMPHURI/2018","Hj. Nikmah","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"236","PT KHAZZANAH AL-ANSHARY","Khazzanah Tours & Travel","421/AMPHURI.2018","H. Ahmad Zaky Zakaria Anshary, Lc. Ma","PIHK","","Jawa Barat","Jawa Barat"
"237","PT AJIIB WISATA BAROKAH","Ajiib Wisata","422/AMPHURI/2018","Hj. Rusifah Sagita","PPIU","","Jawa Barat","Jawa Barat"
"238","PT MOISANI MANGGALA WISATA","M2 Wisata","423/AMPHURI/2018","H. Bambang Susilo","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"239","PT PRIAVENTURE TOUR & TRAVEL","Priaventure Tour & Travel","424/AMPHURI/2018","H. Anshar H Aziz","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"240","PT BAGUS SEMESTA","-","425/AMPHURI/2018","H. Alamudin Dimyati Rois","PIHK","","Jawa Tengah","Jawa Tengah"
"241","PT SATWIKA MITRA GLOBAL","Wika Tours & Travel","428/AMPHURI/2018","Dra. Hj. Ida Nurhaida","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"242","PT MULYA ALAM SEMESTA","Mulya Tours","429/AMPHURI/2018","H. Tedi Adri Muttaqi","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"243","PT AILA RAEEZ UTAMA","Aila Raeez Travel","430/AMPHURI/2018","H. Fachruddin","PPIU","","Banten","Banten"
"244","PT SAGHARA MAHABBATAIN WISATA","Samawi Travel","432/AMPHURI/2018","H. Nurhidayat","PPIU","","Banten","Banten"
"245","PT ASTRIFA INSAN MADANI","-","433/AMPHURI/2018","Hj. Jubaidah","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"246","PT LARAIBA MADANIA WISATA","Laraiba Tour","434/AMPHURI/2018","H. Adam Basyori","PIHK","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"247","PT SATRIA BAROKAH WISATA","Ghinasepti Travel","435/AMPHURI/2018","Hj. Tuti Sukmansari","PIHK","","Jawa Barat","Jawa Barat"
"248","PT TRITAMA TOUR TRAVEL","-","437/AMPHURI/2018","H. Achmad Syarif Shahab","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"249","PT ASTRI DUTA MANDIRI","Ashma Wisata","438/AMPHURI/2018","H. Kusnadi Najeh Umar","PPIU","","Jawa Barat","Jawa Barat"
"250","PT STARINDO MITRADASA CIPTA","Babul Ka`Bah","440/AMPHURI/2018","Hj. Rini Indriani","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"251","PT PUANG WISATA","Puang Wisata","443/AMPHURI/2018","Ir. H. Alfiah Ali Mustari","PPIU","","Sulawesi Selatan","Sulampua"
"252","PT KAHA HOLIDAY INTERNASIONAL","-","444/AMPHURI/2018","H. Tato Susilo","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"253","PT MULIA RAHAYU MITRA","Mulia Rahayu Travel","445/AMPHURI/2018","H. Rahajeng Harumi Herdikanti","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"254","PT SEMESTA ALAM MANDIRI","Tiraz Travel","447/AMPHURI/2018","H. Hammad","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"255","PT PERTIWI ELOK WISATA","-","448/AMPHURI/2018","H. Sugeng Purwaadi","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"256","PT MUBINA FIFA MANDIRI","Mubina Tour","449/AMPHURI/2018","H. Heru Sunanto","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"257","PT MUGI RIZKY","Tims/Bpw0635911","450/AMPHURI/2018","Hj. Linda Astuti, S.A.B","PIHK","","Lampung","Lampung"
"258","PT AZAM ANGKASA JAYA","-","451/AMPHURI/2018","K.H. Dr. Zainul Ibad","PIHK","","Jawa Timur","Jawa Timur"
"259","PT AMINAH","Aminah Tour","452/AMPHURI/2018","Drs. H. Amirul Muafi, Mpd","PIHK","","Jawa Timur","Jawa Timur"
"260","PT SHIROTOL JANNAH","-","453/AMPHURI/2018","H. Junaidi","PPIU","","Riau","Kepulauan Riau, Riau"
"261","PT RAKA AMAL UTAMA TOURS & TRAVEL","Raka Tours","454/AMPHURI/2018","H. M. Wishnu Utama Boesoirie Mba, M.M","PIHK","","Jawa Barat","Jawa Barat"
"262","PT NAHDLATUNA ZADUNA TAQWA","Al Mawa Nu Cilacap","455/AMPHURI/2018","H. Priyono","PPIU","","Jawa Tengah","Jawa Tengah"
"263","PT TOURINDO GLOBAL MANDIRI","Tgm Umroh","456/AMPHURI/2018","Hj. Dyah Prastuti","PIHK","","Jawa Tengah","Jawa Tengah"
"264","PT YADIKA AMANAH SEJAHTERA","Umroh Dan Haji Khusus","459/AMPHURI/2018","H. Noor Muhammad","PIHK","","Jawa Timur","Jawa Timur"
"265","PT NUR RANIA FAZ TOUR TRAVEL","Nur Faz","460/AMPHURI/2018","H. Abdul Kadir","PPIU","","Jawa Timur","Jawa Timur"
"266","PT HASINDO BERSAUDARA","-","461/AMPHURI/2018","Hj. Ratna Ayu Sriwibowo Pratitis","PPIU","","Jawa Timur","Jawa Timur"
"267","PT AL SHOFA DUTA MANDIRI","Adma Travel","462/AMPHURI/2018","H. Lukman Harun","PIHK","","Jawa Barat","Jawa Barat"
"268","PT AL MASOEM KHADIMUL HAJJ","-","464/AMPHURI/2019","H. Iqbal Rallie","PPIU","","Jawa Barat","Jawa Barat"
"269","PT VAUZA TAMMA ABADI","Vauza Tamma Abadi","465/AMPHURI/2019","H. Faisal Wahyudi","PPIU","","Jawa Timur","Jawa Timur"
"270","PT TRIAAA","-","466/AMPHURI/2019","H. Hendry Supriadi","PIHK","","Jawa Timur","Jawa Timur"
"271","PT SAHARA ABYUDAYA INTERNASIONAL","Abyudaya Tour & Travel","467/AMPHURI/2019","Drs. H. Yandi Yanuardi","PIHK","","Jawa Barat","Jawa Barat"
"272","PT BIRO PERJALANAN WISATA APRILYA DARMA WISATA","Permata Shafwah","468/AMPHURI/2019","H. Muhammad Helmi","PPIU","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"273","PT FRESHNEL KREASINDO PERKASA","Rihaal Umroh Dan Edukasi","470/AMPHURI/2019","H. Agus Mohammad, St","PIHK","","DIY. Yogyakarta","Daerah Istimewa Yogyakarta"
"274","PT NAMIRAH MERDU WISATA","-","471/AMPHURI/2019","H. Ridwan Nurdin","PPIU","","Nangroe Aceh Darussalam","Aceh"
"275","PT TRIMAGNA ADHI WISATA","-","474/AMPHURI/2019","H. Muhammad Abgari","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"276","PT AL BATUL","-","475/AMPHURI/2019","Hj. Irnawati","PPIU","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"277","PT WAHYU ABADI WISATA","Biro Perjalanan Wisata","476/AMPHURI/2019","Ir. H. Ahmad Basir","PPIU","","Kalimantan Timur","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"278","PT AR-RAHMAH WISATA","Panitia Penyelenggara Ibadah Umrah","477/AMPHURI/2019","Hj. Krisna Ismail Umar","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"279","PT ZAMAN MADANI WISATA","Zmw Tour & Travel","478/AMPHURI/2019","H. Abdul Rasyid Hm","PIHK","","Kalimantan Selatan","Kalimantan Timur dan Kalimantan Utara (Kaltimtara)"
"280","PT RAJAWALI ASHAB MANDIRI","Rajawali Ashab Mandiri Tour & Travel","479/AMPHURI/2019","H. Hikmah Husen Badjuber","PPIU","","Sulawesi Tengah","Sulampua"
"281","PT BINA AMANAH INSAN MULIA","Sas Tour & Travel","481/AMPHURI/2019","H. Muhammad Shodiq, Se. Mm","PPIU","","Jawa Timur","Jawa Timur"
"282","PT TOYYIBA WISATA NUSANTARA","-","482/AMPHURI/2019","Hj. Vina Titania Restiyani","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"283","PT SANTRI NIAGA","Santri Niaga Travel","483/AMPHURI/2019","H. Agni Abdulloh Al Asfari","PPIU","","Jawa Barat","Jawa Barat"
"284","PT CITRA ALHUSNA","Citra Alhusna","484/AMPHURI/2019","H. Pipi Pahlevi, St","PPIU","","Riau","Kepulauan Riau, Riau"
"285","PT ARRAUDHAH ABADI INDAH","-","485/AMPHURI/2019","H. Asadi","PPIU","","Jawa Timur","Jawa Timur"
"286","PT NADZMA ZAKIA INDOWISATA","Nadzma Zakia Travel","487/AMPHURI/2019","H. A. Muhammad Baqier, Lc","PPIU","","Jawa Barat","Jawa Barat"
"287","PT CAHAYA RAUDHAH","Cahaya Raudhah","488/AMPHURI/2019","H. Wawan Hermawan","PIHK","","Jawa Barat","Jawa Barat"
"288","PT ANNUR MAKNAH WISATA","-","489/AMPHURI/2019","H. Mahdi Muhammad Chamis","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"289","PT AZZAHRA MUMTAZA","Azzam Tours","490/AMPHURI/2019","H. Reza Fachri Effendi","PPIU","","Jawa Barat","Jawa Barat"
"290","PT ALIF JAYA WISATA","Alif Tour","491/AMPHURI/2019","H. Masngud","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"291","PT NUR MEKAHIYAH WISATA","Nmw Travel","493/AMPHURI/2019","Hj. Dewi Septriany","PPIU","","Riau","Kepulauan Riau, Riau"
"292","PT TRAVELASIA WISATA INDONESIA","-","494/AMPHURI/2019","Hj. Wulandari","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"293","PT ZAVALANA WISATA AL HARAMAIN","Za Travel","495/AMPHURI/2019","Hj. Dianita Rositasari","PPIU","","Jawa Timur","Jawa Timur"
"294","PT HAWWA BUANA WISATA","Hawwa Tours & Travel","496/AMPHURI/2019","Hj. Bintang Setyaningsih","PPIU","","Jawa Barat","Jawa Barat"
"295","PT ARYATI WISATA MANDIRI","-","498/AMPHURI/2019","H. Ardiansyah","PPIU","","Banten","Banten"
"296","PT SANTAFI SUKSES MANDIRI","Santafi Travel","499/AMPHURI/2019","Hj. Junia Amerta Santi","PIHK","","Jawa Barat","Jawa Barat"
"297","PT HIKMAH WUKUF ARAFAH","Hikmah Wukuf Travel","500/AMPHURI/2019","Hj. Mariam Wahyudi","PPIU","","Jawa Barat","Jawa Barat"
"298","PT MAQDIS SALAM","Maqdis Travel","501/AMPHURI/2019","Hj. Erna Supartina","PPIU","","Jawa Barat","Jawa Barat"
"299","PT SYAKIRA ASFARINA","Syakira Tour","502/AMPHURI/2019","Hj. Erni Yansyah. Spd","PIHK","","Jawa Barat","Jawa Barat"
"300","PT GARDA TAUHID TSABITA","Tsabita Travel","503/AMPHURI/2019","H. Kemal Abdalah Yahya","PPIU","","Banten","Banten"
"301","PT YASTHA MANDIRI","Yastha Mandiri","504/AMPHURI/2019","H. Basri Rifai","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"302","PT SABDA MANDIRI WISATA","-","505/AMPHURI/2019","H. Januar Setyadi","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"303","PT AMIR ALIYA AMALIA","-","506/AMPHURI/2019","H. Farid Amir Abdat","PPIU","","Jawa Tengah","Jawa Tengah"
"304","PT MENARA SAKTI SEJAHTERA","Menara Sakti Tour & Travel","508/AMPHURI/2019","H. Moyessaroh, S.Pd, Sh","PPIU","","Jawa Timur","Jawa Timur"
"305","PT AMIRUL INSANI","-","509/AMPHURI/2019","Hj. Maryam Tamoreka, S.Kom","PIHK","","Jawa Barat","Jawa Barat"
"306","PT HANA ASIA WISATA","-","510/AMPHURI/2019","Hj. Fikry Shahab","PIHK","","Jawa Barat","Jawa Barat"
"307","PT INILAH TOUR & TRAVEL","-","511/AMPHURI/2019","Hj. Rosyida Hasyim","PPIU","","Jawa Timur","Jawa Timur"
"308","PT DARUL UMROH ALHARAMAIN","Darul Umroh","512/AMPHURI/2019","H. Muhammad Abduh, Lc","PIHK","","Sumatera Utara","Sumatera Utara"
"309","PT SEJATI TRAVELINDO","-","513/AMPHURI/2019","Hj. Hanifah","PPIU","","Sumatera Utara","Sumatera Utara"
"310","PT BUROQ INTER NUSA","Buroq Tour & Travel","514/AMPHURI/2019","H. Haizul Maarif","PIHK","","Jawa Tengah","Jawa Tengah"
"311","PT MECCA SUKSES INTERNATIONAL","Mecca Tours & Travel","515/AMPHURI/2019","Hj. Anief Yulianti, S . P","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"312","PT MEDIA AMANAH INTERNASIONAL","Mai Tour & Travel","518/AMPHURI/2019","Hj. Sopia, Se","PPIU","","Banten","Banten"
"313","PT AKRAM RIHLAH MUBARAK","Mizab Travel","519/AMPHURI/2019","H. Ivan Novik Gozali","PPIU","","Banten","Banten"
"314","PT HAJAR ASWAD WISATA","-","521/AMPHURI/2019","Hj. Wahidah Br Rangkuty","PPIU","","Sumatera Utara","Sumatera Utara"
"315","PT MUDAHAN TILAH","-","522/AMPHURI/2019","Hj. Wiwik Apriani, Sp. Mm","PIHK","","Ntb","Bali dan Nusa Tenggara (Bali & Nusra)"
"316","PT ARWINDA MITRA MANDIRI","-","523/AMPHURI/2019","Hj. Ida Swandayanti, Sm","PPIU","","Jawa Timur","Jawa Timur"
"317","PT CAHAYA MIHRAB TUR","-","524/AMPHURI/2019","Hj. Maria Goretti Limi D","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"318","PT DWI CIPTA UMROH","Dcu Group","525/AMPHURI/2019","H. Imam Hanafi","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"319","PT AMANAH TRAVEL INDONESIA","-","526/AMPHURI/2019","H. Deni Masri, S.E","PIHK","","Sumatera Utara","Sumatera Utara"
"320","PT LYLA WISATA DUNIA","-","527/AMPHURI/2019","H. Salamullah","PPIU","","Sumatera Utara","Sumatera Utara"
"321","PT PANAMITRA TOUR & TRAVEL","Albalad Alameen Tour & Travel","528/AMPHURI/2019","H. Ali Saleh Mohammed Ali Jaber","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"322","PT RINDU BAITULLAH PADANG","Rindu Baitullah Tour & Travel","529/AMPHURI/2019","H. Episantoso, Sp","PPIU","","Sumatera Barat","Sumatera Barat"
"323","PT PUTRI CAHAYA ANGKASA JAYA","Puja Travel","530/AMPHURI/2020","H. Harya Ahmad Bernadhan","PPIU","","Sumatera Selatan","Sumatera Selatan, Bengkulu, & Babel"
"324","PT AVIATION INDONESIA TRAVEL SERVICES","Aits","531/AMPHURI/2020","Hj. Adeke Triana","PPIU","","DKI Jakarta","Daerah Khusus Jakarta"
"325","PT FALAH FANTASTIC","Alffalah","532/AMPHURI/2020","H. Rochmat. Amd","PPIU","","Jawa Barat","Jawa Barat"
"326","PT KHARISMA HARAMAIN INDONESIA","Kharisma Tour","533/AMPHURI/2020","Dra. Hj. Erni Haryaningsih, M.M","PPIU","","Jawa Tengah","Jawa Tengah"
"327","PT HAPPY PRIMA WISATA","-","534/AMPHURI/2020","H. Mas Soehardi","PIHK","","DKI Jakarta","Daerah Khusus Jakarta"
"328","PT ANUGERAH QUBA MANDIRI","Aqm Tour & Travel","535/AMPHURI/2020","H. Bambang","PIHK","","Bengkulu","Sumatera Selatan, Bengkulu, & Babel"
"329","PT DUTA MAHKOTA INDONESIA","-","537/AMPHURI/2020","Hj. Zahra Haiza Azmina, M. Ag","PPIU","","Jawa Barat","Jawa Barat"
"330","PT MULTAZAM WISATA AGUNG","-","538/AMPHURI/2020","Hj. Alya Rahmayani Siregar","PPIU","","Sumatera Utara","Sumatera Utara"
"331","PT LIGHT WATER","-","539/AMPHURI/2020","Hj. Isra Miharti","PPIU","","Riau","Kepulauan Riau, Riau"
"332","PT GEMA RAUDHAH LESTARI","Gema Raudhah Tours & Travel","540/AMPHURI/2020","Hj. Liliek Nur Khalidah","PPIU","","Jawa Barat","Jawa Barat"
"333","PT MALQANIDA FIRDAUS","-","541/AMPHURI/2020","H. Raden Ginanjar, Se.Ak, Ca, Cpa","PPIU","","Banten","Banten"
"334","PT MUSLIMAH","-","542/AMPHURI/2020","H. Moch. Taufiq","PIHK","","Jawa Timur","Jawa Timur"
